Channel,Attribute,MonthStart,Platform,Media_source,Country,Value_p1,Value,Regs,Spends
bn,attr1,2/1/2018 0:00,app_android,source1,RU,6545,49011,3396,15307
bn,attr1,2/1/2018 0:00,app_android,source2,AP,0,0,5,1
bn,attr1,2/1/2018 0:00,app_android,source2,AR,13425,3959,6106,3330
bn,attr1,2/1/2018 0:00,app_android,source2,BR,4903,15343,50898,74252
bn,attr1,2/1/2018 0:00,app_android,source2,KZ,153,66,415,42
bn,attr1,2/1/2018 0:00,app_android,source2,MX,167,1668,477,1359
bn,attr1,2/1/2018 0:00,app_android,source2,MY,1487,489,371,186
bn,attr1,2/1/2018 0:00,app_android,source2,RU,17014,9470,9930,49931
bn,attr1,2/1/2018 0:00,app_android,source2,SG,493,267,59,633
bn,attr1,2/1/2018 0:00,app_android,source2,TH,1363,11509,756,3031
bn,attr1,2/1/2018 0:00,app_android,source2,TR,0,0,1,2
bn,attr1,2/1/2018 0:00,app_android,source2,UA,205,95,420,55
bn,attr1,2/1/2018 0:00,app_android,source2,VN,16345,1993,11764,1705
bn,attr1,2/1/2018 0:00,app_ios,source1,RU,3317,15270,14806,716454
bn,attr1,2/1/2018 0:00,app_ios,source2,RU,687,18014,283,2564
bn,attr1,3/1/2018 0:00,app_android,source1,RU,5115,15075,24362,80603
bn,attr1,3/1/2018 0:00,app_android,source3,RU,116,377,1307,4236
bn,attr1,3/1/2018 0:00,app_android,source2,BR,15000,4544,8169,1632
bn,attr1,3/1/2018 0:00,app_android,source2,MY,188,67,13,67
bn,attr1,3/1/2018 0:00,app_android,source2,RU,9682,44413,236071,3536279
bn,attr1,3/1/2018 0:00,app_android,source2,SG,328,1729,61,421
bn,attr1,3/1/2018 0:00,app_android,source2,TH,1152,3484,2396,12031
bn,attr1,3/1/2018 0:00,app_android,source2,TR,0,0,0,168
bn,attr1,3/1/2018 0:00,app_android,source2,UA,57,985,14,1
bn,attr1,3/1/2018 0:00,app_android,source2,VN,345,5044,221,2782
bn,attr1,3/1/2018 0:00,app_ios,source1,RU,203009,21845,8163,2706
bn,attr1,3/1/2018 0:00,app_ios,source2,RU,57,197,130,1035
bn,attr1,4/1/2018 0:00,app_android,source1,RU,23024,7295,7827,7044
bn,attr1,4/1/2018 0:00,app_android,source2,BR,-5,-1,10,12
bn,attr1,4/1/2018 0:00,app_android,source2,RU,131884,9734,9343,2884
bn,attr1,4/1/2018 0:00,app_android,source2,TH,9247,2790,3548,2430
bn,attr1,4/1/2018 0:00,app_android,source2,VN,3090,1378,112,340
bn,attr1,4/1/2018 0:00,app_ios,source1,RU,184,10268,35,2054
bn,attr1,4/1/2018 0:00,app_ios,source2,RU,9276,2033,1560,854
bn,attr1,5/1/2018 0:00,app_android,source1,RU,965,331,375,5033
bn,attr1,5/1/2018 0:00,app_android,source2,RU,61,3086,37,4057
bn,attr1,5/1/2018 0:00,app_android,source2,TH,1347,434,203,1871
bn,attr1,5/1/2018 0:00,app_ios,source1,RU,1131,497,263,2768
bn,attr1,5/1/2018 0:00,app_ios,source2,RU,92,15,55,873
bn,attr1,6/1/2018 0:00,app_android,source1,AR,0,0,3,2
bn,attr1,6/1/2018 0:00,app_android,source1,BR,0,0,333,72
bn,attr1,6/1/2018 0:00,app_android,source1,HN,0,0,1,4
bn,attr1,6/1/2018 0:00,app_android,source1,PH,11,6,22,14
bn,attr1,6/1/2018 0:00,app_android,source1,RU,99,54,67,55
bn,attr1,6/1/2018 0:00,app_android,source1,VN,0,0,98,9
bn,attr1,6/1/2018 0:00,app_android,source3,RU,0,0,0,5
bn,attr1,6/1/2018 0:00,app_android,source2,BD,0,0,10,1
bn,attr1,6/1/2018 0:00,app_android,source2,BR,74,430,394,104
bn,attr1,6/1/2018 0:00,app_android,source2,KE,65,36,66,26
bn,attr1,6/1/2018 0:00,app_android,source2,KZ,3,0,19,2
bn,attr1,6/1/2018 0:00,app_android,source2,MD,40,20,33,2
bn,attr1,6/1/2018 0:00,app_android,source2,MX,6,3,57,3
bn,attr1,6/1/2018 0:00,app_android,source2,NG,10,5,71,31
bn,attr1,6/1/2018 0:00,app_android,source2,PH,32,12,56,13
bn,attr1,6/1/2018 0:00,app_android,source2,RU,218,96,132,360
bn,attr1,6/1/2018 0:00,app_android,source2,TH,184,100,106,53
bn,attr1,6/1/2018 0:00,app_android,source2,VN,747,2680,2771,1222
bn,attr1,6/1/2018 0:00,app_ios,source1,RU,310,24375,167,1036
bn,attr1,6/1/2018 0:00,app_ios,source2,RU,28,14,5,113
bn,attr1,7/1/2018 0:00,app_android,source1,RU,227,1232,106,635
bn,attr1,7/1/2018 0:00,app_android,source1,VN,0,0,0,2
bn,attr1,7/1/2018 0:00,app_android,source2,BD,37,1501,175,14
bn,attr1,7/1/2018 0:00,app_android,source2,BR,100,285,1177,2
bn,attr1,7/1/2018 0:00,app_android,source2,BY,177,576,839,101
bn,attr1,7/1/2018 0:00,app_android,source2,KE,789,4022,164477,1309
bn,attr1,7/1/2018 0:00,app_android,source2,KZ,102,48,160,24
bn,attr1,7/1/2018 0:00,app_android,source2,MD,57,586,87,6
bn,attr1,7/1/2018 0:00,app_android,source2,MX,100,647,94,7
bn,attr1,7/1/2018 0:00,app_android,source2,MY,65,24,179,171
bn,attr1,7/1/2018 0:00,app_android,source2,NG,41,324,228,191
bn,attr1,7/1/2018 0:00,app_android,source2,PH,1021,565,645,2663
bn,attr1,7/1/2018 0:00,app_android,source2,RU,4437,2570,3123,23335
bn,attr1,7/1/2018 0:00,app_android,source2,SG,0,0,26,4
bn,attr1,7/1/2018 0:00,app_android,source2,TH,1179,6885,1066,3347
bn,attr1,7/1/2018 0:00,app_android,source2,UA,55,27,214,37
bn,attr1,7/1/2018 0:00,app_android,source2,VN,65102,13276,10101,3138
bn,attr1,7/1/2018 0:00,app_android,source2,ZA,5,3,11,1
bn,attr1,7/1/2018 0:00,app_ios,source1,RU,1044,4033,5853,32185
bn,attr1,7/1/2018 0:00,app_ios,source2,RU,46,454,2,43
bn,attr1,8/1/2018 0:00,app_android,source1,RU,37275,1309,922,104
bn,attr1,8/1/2018 0:00,app_android,source2,BD,75,270,4374,395
bn,attr1,8/1/2018 0:00,app_android,source2,BR,655,233,191,5
bn,attr1,8/1/2018 0:00,app_android,source2,BY,380,107,764,5
bn,attr1,8/1/2018 0:00,app_android,source2,KE,93081,5725,7221,287
bn,attr1,8/1/2018 0:00,app_android,source2,KZ,35,512,100,8
bn,attr1,8/1/2018 0:00,app_android,source2,MD,75,236,900,36
bn,attr1,8/1/2018 0:00,app_android,source2,MX,14,41,323,0
bn,attr1,8/1/2018 0:00,app_android,source2,MY,1151,480,405,1590
bn,attr1,8/1/2018 0:00,app_android,source2,NG,746,2222,7018,10368
bn,attr1,8/1/2018 0:00,app_android,source2,PH,2406,11363,81034,3384
bn,attr1,8/1/2018 0:00,app_android,source2,RU,11986,46193,142002,927258
bn,attr1,8/1/2018 0:00,app_android,source2,TH,1062643,4238,12257,709
bn,attr1,8/1/2018 0:00,app_android,source2,VN,2459,312,1012,7436
bn,attr1,8/1/2018 0:00,app_ios,source1,RU,95464,18353,5303,6682
bn,attr1,8/1/2018 0:00,app_ios,source2,RU,0,0,10,176
bn,attr1,9/1/2018 0:00,app_android,source1,RU,1856,681,787,792
bn,attr1,9/1/2018 0:00,app_android,source1,VN,0,0,1,4
bn,attr1,9/1/2018 0:00,app_android,source3,KE,0,0,2,7
bn,attr1,9/1/2018 0:00,app_android,source3,NG,7,103,2,15
bn,attr1,9/1/2018 0:00,app_android,source3,PH,60,15,67,17
bn,attr1,9/1/2018 0:00,app_android,source3,RU,290,93,92,76
bn,attr1,9/1/2018 0:00,app_android,source2,BD,420,86,2780,3
bn,attr1,9/1/2018 0:00,app_android,source2,BY,37,10,105,85
