neighborhood,population,male,female,district
Longwood,5364,1797,3567,
West Roxbury,32862,14492,18370,E5
Jamaica Plain,39182,17632,21550,E13
Roslindale,29077,13288,15789,
Brighton,49066,22472,26594,D14
Charlestown,18301,8400,9901,A15
Beacon Hill,9211,4274,4937,
Back Bay,18165,8574,9591,
Fenway,32256,15354,16902,
Roxbury,51732,24728,27004,B2
Hyde Park,36096,17290,18806,E18
Dorchester,124948,60350,64598,C11
Mattapan,25789,12482,13307,B3
Allston,19389,9423,9966,
South Boston,35459,17304,18155,C6
North End,9377,4679,4698,
South End,31908,16018,15890,D4
Downtown,17389,8816,8573,A1
Mission Hill,16967,8704,8263,
South Boston Waterfront,3084,1607,1477,
West End,6061,3164,2897,
East Boston,46252,24930,21322,A7
,,,,
