# Метеостанция Ист-Бостон (аэропорт), США, WMO_ID=72509, выборка с 01.01.2015 по 27.03.2021, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=72509&lang=ru
#
"Местное время в Ист-Бостоне (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.03.2021 07:00";"13.3";"756.1";"756.7";"-2.3";"93";"Ветер, дующий с юга";"6";"";"";"100%.";"Дымка. ";"";"";"9.4";"16.7";"";"";"100-200";"";"";"8.0";"12.2";"0.3";"6";"";"";"";"";
"26.03.2021 04:00";"12.8";"758.4";"758.8";"-1.3";"87";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"16.0";"10.6";"Следы осадков";"3";"";"";"";"";
"26.03.2021 01:00";"14.4";"759.7";"760.1";"-1.2";"81";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";" ";"";"";"7.8";"15.0";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"11.1";"";"";"";"";"";"";
"25.03.2021 22:00";"12.8";"760.9";"761.4";"-0.8";"87";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"10.6";"";"";"";"";"";"";
"25.03.2021 19:00";"9.4";"761.7";"762.2";"0.0";"90";"Ветер, дующий с востоко-северо-востока";"3";"";"";"100%.";" ";"";"";"7.8";"16.7";"";"";"Менее 50";"";"";"16.0";"7.8";"";"";"";"";"";"";
"25.03.2021 16:00";"15.0";"761.7";"762.1";"-1.3";"78";"Ветер, дующий с востоко-северо-востока";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"11.0";"11.1";"";"";"";"";"";"";
"25.03.2021 13:00";"14.4";"763.0";"763.3";"-0.7";"75";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Дымка. ";"";"";"8.3";"16.7";"";"";"300-600";"";"";"4.8";"10.0";"0.3";"6";"";"";"";"";
"25.03.2021 10:00";"10.6";"763.7";"764.1";"-0.2";"89";"Ветер, дующий с северо-северо-востока";"3";"";"";"100%.";"Дымка. ";"";"";"";"";"";"";"100-200";"";"";"1.6";"8.9";"0.3";"3";"";"";"";"";
"25.03.2021 07:00";"9.4";"763.9";"764.5";"0.7";"86";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"7.8";"11.7";"";"";"50-100";"";"";"1.6";"7.2";"2.0";"6";"";"";"";"";
"25.03.2021 04:00";"7.8";"763.2";"763.6";"-1.3";"89";"Ветер, дующий с востоко-северо-востока";"3";"";"";"100%.";"Дымка. ";"";"";"";"";"";"";"50-100";"";"";"3.2";"6.1";"0.8";"3";"";"";"";"";
"25.03.2021 01:00";"8.3";"764.5";"765.1";"-1.2";"86";"Ветер, дующий с востока";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"4.4";"10.0";"";"";"300-600";"";"";"9.0";"6.1";"1.0";"6";"";"";"";"";
"24.03.2021 22:00";"8.9";"765.7";"766.2";"-0.3";"80";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"5.6";"";"";"";"";"";"";
"24.03.2021 19:00";"9.4";"766.0";"766.5";"-0.3";"80";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"4.4";"11.7";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"6.1";"";"";"";"";"";"";
"24.03.2021 16:00";"9.4";"766.3";"766.8";"-1.2";"77";"Ветер, дующий с востоко-северо-востока";"5";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"5.6";"";"";"";"";"";"";
